consumption_1470-1494,[]
meed_1470-1494,"['entencions', 'thynstaunce', 'wikkedder', 'faunus', 'housbonde', 'pseue', 'periciam', 'traslacion', 'zeel', 'empriseth', 'crepig', 'giltye', 'vray', 'exal', 'wythholdyth', 'notoryly', 'auak', 'wretchyd', 'gonner', 'passyh']"
budge_1470-1494,"['vineula', 'balis', 'conuent', 'chiviteyns', 'dup', 'codicions', 'addynge', 'mlxxiiij', 'philemenus', 'indiuiduata', 'bertelot', 'eterna', 'accnstomed', 'vpene', 'tactnm', 'bydyng', 'assotd', 'clamen', 'intrumsalsum', 'pess']"
wastour_1470-1494,"['lytargy', 'pestel', 'ray', 'slippe', 'spylle', 'peasn', 'byleuest', 'woudis', 'nygarde', 'chaundeler', 'pussaue', 'seete', 'shyt', 'mesprysement', 'witche', 'nyt', 'moge', 'blaspheminge', 'knak', 'chaplet']"
waster_1470-1494,"['fothir', 'conponens', 'pletars', 'described', 'decorem', 'remont', 'ducatur', 'kyage', 'aforsayde', 'practisyng', 'michelmasse', 'spne', 'enchatementes', 'prehid', 'hermynd', 'saby', 'edwardpunctel', 'bullis', 'redeyued', 'feryers']"
speculation_1470-1494,[]
debitum_1470-1494,"['ala', 'crescat', 'ascella', 'timor', 'argent', 'tenuz', 'du', 'losses', 'ville', 'nocet', 'soient', 'leurs', 'liurer', 'aura', 'bleez', 'decorasti', 'tient', 'aratro', 'noms', 'plaist']"
debt_1470-1494,[]
expense_1470-1494,"['grauel', 'euyllys', 'accustomed', 'hyhe', 'humbar', 'grauen', 'sorowe', 'abasshid', 'endured', 'considering', 'feat', 'long', 'othr', 'troublid', 'meruaylled', 'ordynaunce', 'dyd', 'played', 'arcyte', 'drenched']"
gain_1470-1494,"['shewing', 'py', 'rotyn', 'foor', 'calleden', 'pryfonners', 'moore', 'carbuncle', 'ripyng', 'ate', 'waylest', 'feure', 'chorle', 'ogyer', 'contagious', 'snare', 'venerando', 'sues', 'libra', 'offended']"
miser_1470-1494,"['amorem', 'fuge', 'viuas', 'laboras', 'serra', 'null', 'tiel', 'mez', 'sis', 'sil', 'ils', 'stellis', 'ducas', 'na', 'qux', 'choses', 'haberi', 'doctrina', 'dower', 'aues']"
fortune_1470-1494,"['reason', 'peas', 'nature', 'word', 'feyth', 'sorow', 'comfort', 'don', 'werke', 'pees', 'therof', 'courage', 'iuste', 'liberal', 'fere', 'entent', 'trouthe', 'vengeaunce', 'doyng', 'richesse']"
fortuna_1470-1494,"['nec', 'huius', 'super', 'nobis', 'animam', 'inter', 'cu', 'textus', 'tunc', 'tu', 'enim', 'qui', 'eam', 'eciam', 'eis', 'oes', 'oim', 'quis', 'virtute', 'ante']"
use_1470-1494,"['waz', 'contray', 'spente', 'yblamed', 'presed', 'habitacion', 'hadd', 'virgyl', 'sayg', 'scotlonde', 'detraccon', 'mansyon', 'entreth', 'teper', 'ioynyan', 'multyplycyte', 'demaudyd', 'dieth', 'coposed', 'bysyde']"
temperance_1470-1494,"['helpeth', 'quyntyn', 'beforn', 'clxxj', 'clemens', 'arbres', 'leuesque', 'stopped', 'ccxxiiij', 'tuball', 'rapes', 'auarice', 'soye', 'weyes', 'vyctor', 'byrdes', 'douze', 'labouryng', 'cofert', 'geloffres']"
consume_1495-1519,"['behest', 'vnconyng', 'request', 'seruyse', 'spreit', 'graut', 'rancour', 'matter', 'infortunate', 'tale', 'eres', 'renewis', 'promytte', 'answe', 'nof', 'pray', 'germayns', 'graunt', 'neyghbour', 'cousell']"
cupiditas_1495-1519,"['pcta', 'clauserit', 'dyaboli', 'mensis', 'denotat', 'proximos', 'peccatu', 'donis', 'dignitate', 'soluit', 'lucis', 'amang', 'celestes', 'cassis', 'admissum', 'peccatorum', 'diem', 'oe', 'istis', 'cucta']"
greed_1495-1519,"['donghyll', 'asiam', 'ies', 'certyfyed', 'lycknes', 'supportacion', 'requyryth', 'porueyaunce', 'encresyd', 'granted', 'hoouynge', 'affectuous', 'cme', 'hermofrodita', 'kyndom', 'astyed', 'lypryane', 'corporel', 'discure', 'yeuyth']"
desire_1495-1519,"['lacke', 'desyreth', 'peryll', 'pore', 'euyl', 'delaye', 'ys', 'refuse', 'resonable', 'strawe', 'dyscorde', 'meanes', 'shortly', 'grutchynge', 'doynge', 'comune', 'mesure', 'erre', 'erthely', 'excercyse']"
appetite_1495-1519,"['pers', 'tenorem', 'reserue', 'coclear', 'glorie', 'hoste', 'rapere', 'alimonia', 'diuinu', 'septimum', 'refute', 'curage', 'sek', 'aurora', 'pyke', 'teporibus', 'fitque', 'consiliu', 'welcum', 'fugit']"
lust_1495-1519,"['trouble', 'vertu', 'colde', 'pleasaunce', 'hem', 'truely', 'ferre', 'debate', 'fortune', 'penaunce', 'lowe', 'heuynes', 'pouerte', 'wytte', 'chere', 'vyce', 'joye', 'pleasure', 'alwaye', 'right']"
libido_1495-1519,"['peccatorum', 'hoies', 'calculus', 'lucis', 'hostis', 'fuisset', 'peccatu', 'vinu', 'qn', 'venia', 'ara', 'cassis', 'tn', 'ide', 'scriptura', 'chorus', 'domus', 'pietati', 'ergo', 'ferro']"
possess_1495-1519,"['galon', 'songe', 'sayen', 'dyscrecyon', 'act', 'fendes', 'collectours', 'plumage', 'gardeyn', 'vnclene', 'enucleati', 'wolle', 'confessyon', 'remembred', 'sodenly', 'croppyd', 'forn', 'candell', 'senyorie', 'highe']"
possession_1495-1519,"['comence', 'humano', 'heire', 'primo', 'pages', 'petrus', 'abbatissa', 'abbate', 'blount', 'zacharias', 'wilhel', 'indulgencie', 'vno', 'beda', 'selbst', 'martyre', 'sancto', 'haute', 'regu', 'cant']"
busy_1495-1519,"['agast', 'home', 'lad', 'vewed', 'bolde', 'houndes', 'stoppe', 'blyue', 'sodaynly', 'hente', 'adowne', 'bade', 'lett', 'herberowe', 'mayle', 'eyes', 'lyve', 'vppe', 'softly', 'busshes']"
need_1495-1519,"['resplendysshyng', 'thokis', 'dite', 'habundance', 'constricta', 'inuestandu', 'thratte', 'scarste', 'clamacions', 'singos', 'alapy', 'fryane', 'uerres', 'crystend', 'yryda', 'opper', 'currant', 'difficultie', 'canna', 'endentur']"
necessary_1495-1519,"['prosperyte', 'perfyte', 'parfyte', 'synfull', 'true', 'poore', 'profytable', 'euyll', 'nedeful', 'wretched', 'bodely', 'happe', 'synne', 'rychesse', 'prestis', 'vse', 'vertues', 'causeth', 'lyuynge', 'synners']"
meed_1495-1519,"['materiato', 'apcrid', 'derogate', 'waylond', 'balltua', 'vltan', 'infidelem', 'abyllymentes', 'tumultuari', 'iheihesu', 'perfeci', 'repetyng', 'misericordem', 'rura', 'darlendinus', 'foughten', 'ryed', 'fortrauayled', 'dowted', 'christenblut']"
wastour_1495-1519,"['clatter', 'ledde', 'whyte', 'golde', 'fote', 'myrroure', 'ran', 'bryght', 'ioyned', 'halle', 'stones', 'fyll', 'drye', 'asse', 'knyghtes', 'bothulphe', 'gate', 'mylke', 'aidus', 'besyde']"
waster_1495-1519,"['soroweth', 'alon', 'dele', 'furred', 'whyppe', 'rydeth', 'streyt', 'sences', 'shepeherde', 'dauce', 'iniurye', 'serueth', 'dredeth', 'anon', 'pill', 'soupe', 'ma', 'signifyeth', 'lukit', 'espye']"
debitum_1495-1519,"['tollerant', 'recipit', 'penul', 'iudicem', 'sacerdotes', 'seruices', 'phebe', 'prodest', 'rent', 'clericus', 'naque', 'sacerdotem', 'cardo', 'gnis', 'tione', 'clericis', 'bos', 'alexandri', 'vestibus', 'culpis']"
debt_1495-1519,"['staffordes', 'deconsecra', 'fumeux', 'counterfee', 'enarras', 'grecea', 'vndstandynge', 'arryuen', 'roside', 'orede', 'pack', 'tapyne', 'humydytee', 'fraucheses', 'nemyght', 'erpuled', 'sudariu', 'pollice', 'electus', 'uides']"
expense_1495-1519,"['depcamur', 'discordie', 'absterge', 'loft', 'mortis', 'remoue', 'vniuersa', 'furht', 'mudo', 'auld', 'ch', 'sing', 'redimens', 'docente', 'corona', 'luxuria', 'cito', 'keik', 'resurrectione', 'michi']"
gain_1495-1519,[]
miser_1495-1519,"['vergilius', 'declinatois', 'augustine', 'vasa', 'disti', 'ri', 'rit', 'rat', 'ris', 'opes', 'habitu', 'aliena', 'dn', 'scz', 'locis', 'em', 'circa', 'oculos', 'cibo', 'nimis']"
fortune_1495-1519,"['playne', 'truely', 'alwaye', 'harde', 'right', 'hit', 'aduersyte', 'sensualyte', 'lust', 'able', 'therby', 'wo', 'feruent', 'alway', 'vertu', 'wytte', 'sure', 'wytnesse', 'playnly', 'soone']"
fortuna_1495-1519,"['au', 'quot', 'alius', 'vetus', 'caret', 'horu', 'cupio', 'queque', 'op', 'auxi', 'jhr', 'prior', 'modis', 'natura', 'littere', 'sensu', 'tibus', 'num', 'domi', 'toutz']"
use_1495-1519,"['promocions', 'iye', 'laufull', 'casys', 'guyse', 'doubteles', 'kemyge', 'vnable', 'dures', 'stille', 'copelled', 'carters', 'dishonest', 'thresshers', 'istructe', 'prebendes', 'respecte', 'theuys', 'honours', 'amongis']"
usury_1495-1519,[]
interest_1495-1519,"['voluntas', 'lie', 'cuias', 'iniquitas', 'templu', 'amicus', 'posytyue', 'hympnes', 'sensualitee', 'hevynnis', 'gout', 'prologus', 'admirabar', 'veritas', 'folio', 'prima', 'conanti', 'truculenti', 'meus', 'corruit']"
temperance_1495-1519,"['barnarde', 'reherseth', 'auncyent', 'paule', 'xliii', 'sare', 'suster', 'xxxix', 'carme', 'dyrectly', 'fyxed', 'lancaster', 'ladder', 'preste', 'gilt', 'herre', 'bine', 'wurshipfull', 'agas', 'poete']"
consumption_1520-1544,"['introducunt', 'pharetra', 'arcturium', 'benignis', 'puere', 'saluemini', 'arct', 'imitatus', 'cubiculum', 'forte', 'intulerunt', 'nullam', 'arcesso', 'amercye', 'obiurgato', 'quant', 'adulta', 'monacho', 'iratus', 'vadi']"
consume_1520-1544,"['bealye', 'sowne', 'boyle', 'stormys', 'dissolue', 'subtelly', 'drynkyng', 'absolutionis', 'bete', 'tempre', 'eeres', 'heleth', 'myt', 'attayninge', 'slouthe', 'sensual', 'melacoly', 'byte', 'executynge', 'encrese']"
cupiditas_1520-1544,"['fainynge', 'vicariam', 'carnificinam', 'burgeyse', 'sacrificis', 'demurre', 'empetii', 'exauspicaui', 'creacions', 'communyng', 'tiebunt', 'agathe', 'tapyte', 'diamero', 'greuauces', 'hearetofore', 'statutec', 'kynnesmenne', 'cultussut', 'torgotus']"
curiositas_1520-1544,"['chasteaulx', 'intemperauncie', 'surrigiane', 'galayes', 'forgyven', 'simas', 'deposicios', 'fermlyer', 'inuic', 'extorqueri', 'distraine', 'melite', 'ougthe', 'alcora', 'ygardes', 'chnell', 'vs', 'betid', 'derlynges', 'corekkit']"
curiosity_1520-1544,"['parishioner', 'partiality', 'euangelici', 'foelicem', 'damaso', 'striuelng', 'aethiope', 'turbata', 'seducti', 'monumentorum', 'conslata', 'gesellen', 'reddet', 'phocas', 'comendations', 'ie', 'brigance', 'successu', 'confortant', 'nuntius']"
greed_1520-1544,"['minisred', 'cristened', 'wonte', 'areragys', 'wont', 'domuno', 'oferch', 'owtlawed', 'traunslatyd', 'alarmes', 'forehand', 'notso', 'whethere', 'impossybyll', 'expulsed', 'remeuyd', 'chargede', 'conuersaunt', 'caught', 'shaues']"
desire_1520-1544,"['deserue', 'reioyce', 'doe', 'auaunce', 'obteyne', 'embrace', 'apply', 'applye', 'fere', 'enforce', 'rebuke', 'acordyng', 'coueyte', 'louyng', 'study', 'endeuer', 'pardon', 'desyer', 'desyre', 'fede']"
appetite_1520-1544,"['studie', 'fode', 'decay', 'profite', 'conscience', 'liuyng', 'appetyte', 'busynesse', 'satisfye', 'auauntage', 'wittes', 'abate', 'reproche', 'malyce', 'plesure', 'rebuke', 'chaunge', 'ignoraunce', 'aduauntage', 'synfull']"
lust_1520-1544,"['laboure', 'malyce', 'luste', 'labour', 'delyte', 'pryde', 'conscience', 'study', 'trauayle', 'ryches', 'appetyte', 'profyte', 'drede', 'trouble', 'ease', 'appetite', 'profite', 'care', 'foly', 'affection']"
libido_1520-1544,"['proposito', 'quamuis', 'furor', 'boni', 'burg', 'peccator', 'saeculis', 'celebre', 'errata', 'ordinum', 'memoriter', 'precor', 'reperitur', 'dictum', 'fiet', 'rediens', 'bellatorum', 'quantumuis', 'uiuere', 'typographi']"
avarice_1520-1544,"['venustly', 'quieta', 'striff', 'apperans', 'rebukes', 'ornate', 'vrbes', 'euangelica', 'hangid', 'pestelent', 'isurreccion', 'bedeboecher', 'uenationis', 'rauyshementes', 'coutenaces', 'groiss', 'quadrantem', 'lincolniensis', 'abominable', 'prickes']"
possess_1520-1544,"['tackle', 'hyts', 'auncesters', 'couterfaite', 'crisome', 'deyte', 'murmurer', 'vntyld', 'relees', 'correct', 'industrie', 'pacyfye', 'entree', 'brytle', 'annoynte', 'aduersarie', 'lout', 'mystrust', 'aliene', 'remyttyng']"
possession_1520-1544,"['possessyon', 'passage', 'memory', 'hades', 'nose', 'bely', 'copany', 'blod', 'foundacion', 'wynges', 'gouernance', 'paradys', 'contrey', 'holes', 'familiars', 'defaute', 'seate', 'nayles', 'tentes', 'clawes']"
possessing_1520-1544,[]
busy_1520-1544,"['slouthe', 'hungre', 'myrthe', 'werynes', 'drynk', 'agonia', 'bledyng', 'sayle', 'dylygent', 'tyrauntis', 'continually', 'posure', 'hasty', 'outrage', 'waton', 'voluptuouse', 'subtelly', 'slowe', 'hetruscies', 'importune']"
businesse_1520-1544,"['dropis', 'herped', 'meledyously', 'stormis', 'shames', 'iret', 'shauen', 'glotonye', 'snaylis', 'wepynges', 'iremus', 'lfueroc', 'enbrawderid', 'diet', 'rynges', 'pensell', 'spices', 'maw', 'rhetoricum', 'complaynynge']"
need_1520-1544,"['erar', 'entitleed', 'iacens', 'ignes', 'volunte', 'cket', 'rethe', 'erudicion', 'extendat', 'feir', 'illibata', 'solinus', 'saphyre', 'liuelynes', 'prosum', 'elleborus', 'auerout', 'venir', 'sactissima', 'manis']"
necessity_1520-1544,"['nate', 'stinkinge', 'toddis', 'myndis', 'melancholye', 'lieuen', 'drinkis', 'demeanoure', 'inioy', 'lips', 'oule', 'willen', 'checke', 'potter', 'geslynges', 'discression', 'whytest', 'bewty', 'celendyne', 'imperatorem']"
necessary_1520-1544,"['profitable', 'necessarye', 'profytable', 'necessarie', 'playne', 'expedient', 'mete', 'requisite', 'sufficient', 'trewe', 'expedyent', 'conuenient', 'lyghte', 'beste', 'holsome', 'nedefull', 'contrarye', 'godly', 'worthy', 'outwarde']"
meed_1520-1544,"['vnleuende', 'spyritualyte', 'vlcero', 'occupationis', 'amannys', 'soronfull', 'infyde', 'detergendum', 'libnites', 'verauce', 'eitton', 'seatly', 'haistie', 'hibiscus', 'gretyr', 'sikke', 'brueres', 'chastelanus', 'infidelem', 'adiuturos']"
wastour_1520-1544,"['hengyst', 'proscribed', 'shoute', 'indyfferentest', 'nosel', 'ennoble', 'iniquire', 'ssorren', 'dispargement', 'gooes', 'abhominaeues', 'ma', 'contageously', 'month', 'pny', 'doyes', 'bocher', 'tryumphaunt', 'meiny', 'comwalcus']"
waster_1520-1544,"['ser', 'declaringe', 'fluctus', 'codex', 'feoalte', 'auete', 'philippyans', 'senators', 'boueton', 'parmeno', 'ret', 'moisten', 'darby', 'smellid', 'eant', 'palmum', 'iret', 'nolimus', 'whytenes', 'euurcij']"
speculation_1520-1544,"['aperiemus', 'antris', 'musque', 'ballattes', 'robberyes', 'irruens', 'roberto', 'leiffis', 'ordour', 'agathensi', 'declaratione', 'creatum', 'precordia', 'juggelers', 'sensing', 'pistacis', 'oesque', 'decipiant', 'adyectiues', 'celebrabant']"
debitum_1520-1544,"['digna', 'lucem', 'consilij', 'rediens', 'meas', 'quot', 'potuit', 'quamuis', 'galfredum', 'sublata', 'temer', 'animam', 'strepitu', 'talis', 'addimus', 'paru', 'miseratione', 'dictum', 'uare', 'quanto']"
debt_1520-1544,"['thapparell', 'cotayne', 'womannishe', 'scapulary', 'tendrenes', 'mene', 'vnhappynes', 'wonder', 'rage', 'couerd', 'priueleges', 'coleth', 'wete', 'waste', 'agre', 'punysshynge', 'speyng', 'weare', 'liue', 'thoughte']"
expense_1520-1544,"['wryngynge', 'commensyd', 'pyteous', 'haynouse', 'ledyng', 'abolla', 'atenir', 'hedgyngebyll', 'drunkarde', 'olyue', 'lyghtnynge', 'resyted', 'dolorous', 'amanuensis', 'pale', 'augur', 'mace', 'outragious', 'broche', 'flayle']"
gain_1520-1544,"['seruius', 'mastix', 'hered', 'ambagibus', 'nigra', 'manerii', 'tellus', 'nonnulli', 'baulme', 'apres', 'lucerna', 'prise', 'forsque', 'chronica', 'herba', 'secundis', 'legimus', 'recouera', 'fronde', 'aque']"
miser_1520-1544,"['prae', 'quasi', 'qualibus', 'excelsior', 'scripta', 'assumit', 'alteru', 'sublata', 'manent', 'postea', 'nostram', 'gildas', 'vnu', 'abit', 'animam', 'habere', 'manu', 'quot', 'aliquis', 'hominum']"
fortune_1520-1544,"['wyt', 'chaunce', 'labour', 'nought', 'laboure', 'foly', 'shame', 'desyre', 'payne', 'drede', 'alway', 'wronge', 'sorowe', 'mynde', 'lust', 'yll', 'alwaye', 'therby', 'delyte', 'wytte']"
fortuna_1520-1544,"['reliqua', 'potius', 'lingua', 'tantundem', 'tanquam', 'bella', 'quanto', 'quasi', 'vtique', 'olim', 'diu', 'videtur', 'minus', 'dedit', 'tota', 'peccata', 'autoritate', 'ubi', 'debent', 'quemque']"
use_1520-1544,"['nostratem', 'quodcumque', 'iunipirus', 'feri', 'sich', 'bablynge', 'argenteis', 'nequaq', 'nostraque', 'annuali', 'couertor', 'deperter', 'saffran', 'wilchs', 'iueramus', 'prouetus', 'phoroneus', 'edacitas', 'archangeli', 'resceu']"
usury_1520-1544,"['waxid', 'chachyd', 'fundos', 'snct', 'belevyng', 'fruitelesse', 'dauil', 'cotemplacyons', 'veik', 'formedonne', 'betwyn', 'calyset', 'alvons', 'sayngeego', 'mountedon', 'commedo', 'enchaunmentees', 'omer', 'sauelyn', 'supernia']"
interest_1520-1544,"['validis', 'stabant', 'casu', 'ratio', 'quanquam', 'retrorsum', 'cognoscere', 'legvm', 'caeli', 'comitem', 'fano', 'externoru', 'nostrorum', 'expeditione', 'gildam', 'ultra', 'antiquum', 'prodeo', 'simili', 'antiquis']"
temperance_1520-1544,"['liberall', 'worshipfull', 'blyndnes', 'substauce', 'veynes', 'prudence', 'eatynge', 'obscure', 'temperaunce', 'orchardes', 'fleume', 'properte', 'choler', 'sufferauce', 'melancoly', 'cold', 'morall', 'mouynge', 'beneuolence', 'execrable']"
consumption_1545-1569,"['nightshade', 'decking', 'pellicles', 'fluxe', 'lunges', 'swellynge', 'flewme', 'sellaris', 'myxt', 'cyder', 'form', 'blacknesse', 'opposit', 'ioyntes', 'hardnesse', 'stampt', 'swetenes', 'cutting', 'bytynge', 'humiditie']"
consume_1545-1569,"['shake', 'burne', 'hyde', 'clense', 'beate', 'byte', 'stop', 'fyll', 'beat', 'quenche', 'teare', 'vexe', 'spyll', 'bere', 'pursue', 'smell', 'breke', 'quench', 'wype', 'drowne']"
cupiditas_1545-1569,"['glauco', 'ygathred', 'abdyas', 'lawhynge', 'namisc', 'vicariam', 'subrnit', 'chepis', 'aliaunte', 'burgeyse', 'vnfoulded', 'disbarred', 'flagitauit', 'sacrificis', 'demurre', 'thade', 'discriuys', 'creacions', 'misfortunate', 'contempserit']"
cupidity_1545-1569,[]
curiositas_1545-1569,"['enterfering', 'surrigiane', 'schaftis', 'earledomes', 'tapirious', 'deposicios', 'fiest', 'achorien', 'camaryne', 'extorqueri', 'recitithe', 'povsoned', 'sffreth', 'darkenessys', 'combase', 'oilij', 'gloryfyeng', 'sextye', 'lysimache', 'ffabian']"
curiosity_1545-1569,"['epystylls', 'crones', 'bonfires', 'advisement', 'misour', 'superyorytye', 'moneybut', 'prinipalls', 'vehemensy', 'hrom', 'baskettes', 'corporacio', 'thelementes', 'thaucthors', 'oldedayes', 'wytuesses', 'augrisme', 'sities', 'fyane', 'voyders']"
greed_1545-1569,"['strangled', 'surples', 'peere', 'planet', 'freman', 'fornicator', 'theefe', 'occupyed', 'gonne', 'crasshed', 'nedynes', 'funt', 'kytten', 'prest', 'butcher', 'dyscust', 'hyndered', 'diuorse', 'leeuyd', 'fole']"
desire_1545-1569,"['desyre', 'study', 'comforte', 'profite', 'comfort', 'care', 'minde', 'loue', 'labour', 'profit', 'delite', 'deserue', 'studie', 'delight', 'desier', 'surely', 'mind', 'trust', 'hope', 'regarde']"
appetite_1545-1569,"['infirmitie', 'appetyte', 'drift', 'inordinate', 'appetit', 'dyligence', 'sensuall', 'sicknesse', 'angre', 'weakenes', 'capacite', 'grief', 'stomack', 'flatterie', 'passions', 'weapons', 'immoderate', 'affections', 'braynes', 'sustenaunce']"
lust_1545-1569,"['foe', 'folly', 'luste', 'coscience', 'hert', 'mind', 'rage', 'smart', 'conscience', 'heart', 'foes', 'reuenge', 'hart', 'corage', 'gaine', 'anger', 'pride', 'wickednes', 'torment', 'disdayne']"
libido_1545-1569,"['luttuosa', 'vultu', 'viris', 'dicis', 'sacrificium', 'iuxta', 'bouthaeus', 'famae', 'laeua', 'lia', 'absentibus', 'audebo', 'flacco', 'concordibus', 'essent', 'admissorum', 'posset', 'eandem', 'libertatem', 'posse']"
avarice_1545-1569,"['generatioc', 'cooleryke', 'dremeth', 'solytarynes', 'ynded', 'carpeter', 'echon', 'viriatus', 'ignoraute', 'tiuedale', 'bithiniae', 'speakemoche', 'honderyd', 'sflandered', 'uictinarum', 'rumorus', 'tredis', 'betyd', 'accepi', 'knaue']"
possess_1545-1569,"['arose', 'locrenses', 'thingels', 'gaole', 'thycked', 'edenborovvghe', 'marginall', 'seperatinge', 'prenely', 'lidda', 'fiauced', 'arrose', 'determyning', 'sayleth', 'aethyop', 'transfiguring', 'arriued', 'britaygn', 'dwelt', 'nauntes']"
possession_1545-1569,"['passage', 'countreye', 'coutrey', 'sighte', 'country', 'custodie', 'countrey', 'protection', 'countrie', 'absence', 'desertes', 'protectyon', 'companye', 'dominion', 'peryll', 'charges', 'gouernaunce', 'ankerholde', 'countrye', 'limittes']"
possessing_1545-1569,"['heffand', 'betraye', 'kitchen', 'pardo', 'dispesacions', 'uing', 'honoureth', 'toret', 'perpetuallye', 'apease', 'parent', 'suffring', 'thereafter', 'mitigated', 'admi', 'gyde', 'disheretyd', 'cosciece', 'laud', 'salute']"
busy_1545-1569,"['sawes', 'cofouded', 'daunce', 'slow', 'relygyous', 'harlotry', 'ordenaunces', 'purs', 'busie', 'louse', 'skoffes', 'werie', 'desierig', 'reput', 'deryued', 'supple', 'vnbe', 'fearyng', 'trobles', 'conse']"
businesse_1545-1569,"['trauel', 'trauell', 'harmes', 'vauntage', 'expences', 'delyght', 'employed', 'busines', 'wyttes', 'endes', 'labours', 'ouersight', 'iudgmentes', 'affayres', 'doutes', 'patrocinie', 'procedinges', 'trauailes', 'wea', 'daliance']"
need_1545-1569,"['veryly', 'neded', 'wythstandyng', 'absurd', 'shameth', 'liked', 'cared', 'vituperacion', 'tollerable', 'behaued', 'dradde', 'thinkes', 'owghte', 'seemed', 'repugnat', 'owght', 'ceassed', 'shamfully', 'forceth', 'sencible']"
necessity_1545-1569,"['labor', 'necligence', 'payn', 'trespasse', 'lack', 'defaulte', 'leaft', 'defaultes', 'malitiously', 'sines', 'coplaining', 'strengh', 'diligece', 'liude', 'liberti', 'truithe', 'impietie', 'cofidence', 'felyng', 'fredship']"
needing_1545-1569,"['sterk', 'satirray', 'conteynes', 'oted', 'ydill', 'heynes', 'testie', 'vnswete', 'lele', 'vnstable', 'vyise', 'vnluckie', 'fayner', 'leofostan', 'blaze', 'plenitude', 'nyghboures', 'wyded', 'inuenall', 'bemoystinge']"
necessary_1545-1569,"['necessarie', 'necessarye', 'profitable', 'requisite', 'conuenient', 'nedefull', 'sufficient', 'profytable', 'expedient', 'mete', 'meete', 'comon', 'considered', 'chiefly', 'indifferent', 'knowen', 'reasonable', 'lawfull', 'perfect', 'commendable']"
meed_1545-1569,"['laughe', 'asshamed', 'regensburch', 'quakte', 'coronacyo', 'lenghe', 'laughed', 'vttecht', 'mytred', 'mcccccxxxii', 'stumble', 'recensi', 'oddes', 'fowy', 'wondered', 'natiuitas', 'marueiled', 'laugh', 'amtyll', 'bremes']"
